,no,distribution,ratings_count,imdb_rating,title_year,movie_year,movie_title,imdb_id,douban_id,douban_rating,douban_ratings_count,douban_title,genre1,genre2,genre3
1165,3692,12211,9502,7.3,Mou gaan dou II (2003),2003,Mou gaan dou II,tt0369060,1307106,7.9,86724,無間道II,Action,Crime,Crime
1166,3693,13201,6831,6.9,Mou gaan dou III: Jung gik mou gaan (2003),2003,Mou gaan dou III: Jung gik mou gaan,tt0374339,1307694,7.4,79043,無間道III 終極無間,Drama,Musical,Musical
1167,3694,1212,171994,7.6,Moulin Rouge! (2001),2001,Moulin Rouge!,tt0203009,1304641,7.8,63033,Moulin Rouge!,Comedy,Family,Family
1168,3695,122100,30989,6.2,Mousehunt (1997),1997,Mousehunt,tt0119715,1295490,7.7,11779,Mousehunt,Comedy,,
1169,3696,2001110000,38857,4.4,Movie 43 (2013),2013,Movie 43,tt1333125,3318306,6.2,5081,Movie 43,Action,Comedy,Comedy
1170,3700,122100,212440,6.4,Mr. & Mrs. Smith (2005),2005,Mr. & Mrs. Smith,tt0356910,1309199,7.3,178992,Mr. & Mrs. Smith,Comedy,Family,Family
1171,3702,122101,60386,6.1,Mr. Bean's Holiday (2007),2007,Mr. Bean's Holiday,tt0453451,1829654,7.6,56470,Mr. Bean's Holiday,Crime,Drama,Drama
1172,3704,12311,94825,7.3,Mr. Brooks (2007),2007,Mr. Brooks,tt0780571,1949321,7.5,17778,Mr. Brooks,Comedy,Family,Family
1173,3710,122100,26024,6.1,Mr. Magorium's Wonder Emporium (2007),2007,Mr. Magorium's Wonder Emporium,tt0457419,1783461,6.7,11242,Mr. Magorium's Wonder Emporium,Drama,Fantasy,Fantasy
1174,3713,1222,64391,7.8,Mr. Nobody (2009),2009,Mr. Nobody,tt0485947,2076181,8.2,17754,Mr. Nobody,Comedy,,
1175,3714,122100,44343,5.9,Mr. Popper's Penguins (2011),2011,Mr. Popper's Penguins,tt1396218,3602084,7.1,34964,Mr. Popper's Penguins,Comedy,Drama,Drama
1176,3719,12100,112389,6.7,Mrs. Doubtfire (1993),1993,Mrs. Doubtfire,tt0107614,1295006,7.5,7155,Mrs. Doubtfire,Animation,Adventure,Adventure
1177,3724,12211,92215,7.3,Mulan (1998),1998,Mulan,tt0120762,1294833,7.3,84509,Mulan,Animation,Action,Action
1178,3725,121000,7369,5.6,Mulan II (2004) (V),2004,Mulan II,tt0279967,1395445,6.3,6492,Mulan II,Crime,Drama,Drama
1179,3726,1222,171773,7.9,Mulholland Dr. (2001),2001,Mulholland Dr.,tt0166924,1292217,8.4,132689,Mulholland Dr.,Drama,History,History
1180,3730,2311,136928,7.6,Munich (2005),2005,Munich,tt0408306,1438338,7.6,13235,Munich,Crime,Drama,Drama
1181,3738,13210,25673,7.3,Murder on the Orient Express (1974),1974,Murder on the Orient Express,tt0071877,1292699,8.3,19484,Murder on the Orient Express,Comedy,Music,Music
1182,3743,22100,58123,6.5,Music and Lyrics (2007),2007,Music and Lyrics,tt0758766,1937401,7.3,51990,Music and Lyrics,Comedy,Romance,Romance
1183,3751,122100,70537,6.2,My Best Friend's Wedding (1997),1997,My Best Friend's Wedding,tt0119738,1295965,7.3,51068,My Best Friend's Wedding,Comedy,Romance,Romance
1184,3752,12100,76058,6.5,My Big Fat Greek Wedding (2002),2002,My Big Fat Greek Wedding,tt0259446,1299576,6.7,11963,My Big Fat Greek Wedding,Drama,Romance,Romance
1185,3756,12100,34059,6.7,My Blueberry Nights (2007),2007,My Blueberry Nights,tt0765120,1499148,7.6,82666,My Blueberry Nights,Drama,Family,Family
1186,3763,1212,47137,7.8,My Fair Lady (1964),1964,My Fair Lady,tt0058385,1297965,7.8,30117,My Fair Lady,Biography,Drama,Drama
1187,3771,2311,33275,7.8,My Left Foot: The Story of Christy Brown (1989),1989,My Left Foot: The Story of Christy Brown,tt0097937,1294000,8.3,6725,My Left Foot,Action,Comedy,Comedy
1188,3778,1221000,7380,5.2,My Mom's New Boyfriend (2008),2008,My Mom's New Boyfriend,tt0780534,1947719,5.7,12183,My Mom's New Boyfriend,Drama,Romance,Romance
1189,3780,1113,32120,7.5,My Name Is Khan (2010),2010,My Name Is Khan,tt1188996,3169043,8.3,34402,My Name Is Khan,Drama,Romance,Romance
1190,3782,12211,27201,7.0,My Own Private Idaho (1991),1991,My Own Private Idaho,tt0102494,1292792,8.0,24398,My Own Private Idaho,Drama,,
1191,3784,12211,49638,7.3,My Sister's Keeper (2009),2009,My Sister's Keeper,tt1078588,3011049,8.2,42232,My Sister's Keeper,Comedy,Romance,Romance
1192,3789,1221000,42430,5.2,My Super Ex-Girlfriend (2006),2006,My Super Ex-Girlfriend,tt0465624,1482075,5.4,9100,My Super Ex-Girlfriend,Biography,Drama,Drama
1193,3790,13200,52470,7.0,My Week with Marilyn (2011),2011,My Week with Marilyn,tt1655420,5151939,7.2,22735,My Week with Marilyn,Drama,,
1194,3791,1211,42451,7.7,Mysterious Skin (2004),2004,Mysterious Skin,tt0370986,1309210,7.7,11419,Mysterious Skin,Crime,Drama,Drama
1195,3798,1321,248144,8.0,Mystic River (2003),2003,Mystic River,tt0327056,1307748,7.8,26748,Mystic River,Crime,Mystery,Mystery
1196,3799,2321,124786,7.8,Män som hatar kvinnor (2009),2009,Män som hatar kvinnor,tt1132620,3217894,7.4,24624,Män som hatar kvinnor,Drama,,
1197,3800,12210,5643,6.8,Nabbeun namja (2001),2001,Nabbeun namja,tt0307213,1305677,7.4,14899,나쁜남자,Drama,Romance,Romance
1198,3803,1223,10267,7.9,Nae meorisokui jiwoogae (2004),2004,Nae meorisokui jiwoogae,tt0428870,1308804,7.7,100917,내 머리 속의 지우개,Drama,History,History
1199,3810,1211,6052,7.6,Nanjing! Nanjing! (2009),2009,Nanjing! Nanjing!,tt1124052,2294568,7.3,91802,南京！南京！,Comedy,Family,Family
1200,3811,22100,32013,6.5,Nanny McPhee (2005),2005,Nanny McPhee,tt0396752,1428877,7.2,25776,Nanny McPhee,Comedy,Family,Family
1201,3812,121101,12017,5.9,Nanny McPhee and the Big Bang (2010),2010,Nanny McPhee and the Big Bang,tt1415283,3671986,7.1,15529,Nanny McPhee Returns,Drama,Sport,Sport
1202,3814,2311,7781,7.3,Napola - Elite für den Führer (2004),2004,Napola - Elite für den Führer,tt0384369,1416942,7.9,8312,Napola - Elite für den Führer,Action,Adventure,Adventure
1203,3820,13200,179610,6.8,National Treasure (2004),2004,National Treasure,tt0368891,1308848,7.4,79138,National Treasure,Action,Adventure,Adventure
1204,3821,122100,130770,6.5,National Treasure: Book of Secrets (2007),2007,National Treasure: Book of Secrets,tt0465234,1607471,6.9,56616,National Treasure: Book of Secrets,Crime,Drama,Drama
1205,3824,12211,125331,7.2,Natural Born Killers (1994),1994,Natural Born Killers,tt0110632,1292229,8.1,55955,Natural Born Killers,Animation,Adventure,Adventure
1206,3833,13211,17495,7.2,Neko no ongaeshi (2002),2002,Neko no ongaeshi,tt0347618,1304970,7.7,78140,猫の恩返し,Drama,Romance,Romance
1207,3839,12211,71850,7.1,Never Let Me Go (2010),2010,Never Let Me Go,tt1334260,3321409,7.5,44652,Never Let Me Go,Comedy,Romance,Romance
1208,3844,121000,43349,5.4,New Year's Eve (2011),2011,New Year's Eve,tt1598822,4301056,6.2,6507,New Year's Eve,Comedy,,
1209,3845,1001110001,13196,4.3,New York Minute (2004/I),2004,New York Minute (2004/I),tt0363282,1309177,6.7,12265,New York Minute,Comedy,Drama,Drama
1210,3847,122100,29880,6.3,"New York, I Love You (2009)",2009,"New York, I Love You",tt0808399,2334814,7.6,77264,"New York, I Love You",Action,Sci-Fi,Sci-Fi
1211,3851,122100,90806,6.1,Next (2007),2007,Next,tt0435705,1793909,6.9,56684,Next,Comedy,Drama,Drama
1212,3856,12100,53309,6.7,Nick and Norah's Infinite Playlist (2008),2008,Nick and Norah's Infinite Playlist,tt0981227,2910660,6.7,8190,Nick and Norah's Infinite Playlist,Action,Adventure,Adventure
1213,3862,122100,144337,6.3,Night at the Museum (2006),2006,Night at the Museum,tt0477347,1835843,6.8,88852,Night at the Museum,Action,Adventure,Adventure
1214,3863,122000,75287,5.8,Night at the Museum: Battle of the Smithsonian (2009),2009,Night at the Museum: Battle of the Smithsonian,tt1078912,2257732,6.7,65095,Night at the Museum: Battle of the Smithsonian,Action,Drama,Drama
1215,3875,12311,41630,7.4,Nikita (1990),1990,Nikita,tt0100263,1296553,7.5,11520,Nikita,Drama,Musical,Musical
1216,3878,121100,29871,5.8,Nine (2009),2009,Nine,tt0875034,2257759,6.8,21588,Nine,Drama,Romance,Romance
1217,3879,121100,21176,5.6,Nine 1/2 Weeks (1986),1986,Nine 1/2 Weeks,tt0091635,1291873,7.2,12232,Nine 1/2 Weeks,Drama,Romance,Romance
1218,3883,12211,33860,7.1,Nineteen Eighty-Four (1984),1984,Nineteen Eighty-Four,tt0087803,1301849,7.6,5580,Nineteen Eighty-Four,Action,Crime,Crime
1219,3885,122100,45014,6.3,Ninja Assassin (2009),2009,Ninja Assassin,tt1186367,3011033,5.8,10551,Ninja Assassin,Crime,Drama,Drama
1220,3891,1222,385235,8.2,No Country for Old Men (2007),2007,No Country for Old Men,tt0477348,1857099,7.8,79611,No Country for Old Men,Drama,War,War
1221,3894,1322,30276,7.9,No Man's Land (2001),2001,No Man's Land,tt0283509,1306303,8.5,6816,No Man's Land,Comedy,Drama,Drama
1222,3897,122100,43958,6.2,No Reservations (2007),2007,No Reservations,tt0481141,1947144,6.7,37356,No Reservations,Comedy,Romance,Romance
1223,3899,122100,106131,6.1,No Strings Attached (2011/I),2011,No Strings Attached (2011/I),tt1411238,3652302,6.5,65936,No Strings Attached,Action,Fantasy,Fantasy
1224,3902,12101,39122,6.4,Nochnoy dozor (2004),2004,Nochnoy dozor,tt0403358,1414803,6.9,8880,Ночной дозор,Action,Adventure,Adventure
1225,3911,1222,149423,8.5,North by Northwest (1959),1959,North by Northwest,tt0053125,1295872,8.1,21485,North by Northwest,Drama,Romance,Romance
1226,3912,12211,5561,7.3,Northanger Abbey (2007) (TV),2007,Northanger Abbey,tt0844794,2034948,7.2,8698,Northanger Abbey,Drama,Romance,Romance
1227,3913,122100,5914,6.3,Noruwei no mori (2010),2010,Noruwei no mori,tt1270842,3168086,5.9,72581,ノルウェイの森,Drama,,
1228,3916,1213,7658,7.9,Nostalghia (1983),1983,Nostalghia,tt0086022,1291556,8.9,6542,Ностальгия,Drama,Thriller,Thriller
1229,3919,12310,49832,7.4,Notes on a Scandal (2006),2006,Notes on a Scandal,tt0465551,1914787,7.8,13436,Notes on a Scandal,Drama,Thriller,Thriller
1230,3921,13210,22222,7.2,Nothing But the Truth (2008),2008,Nothing But the Truth,tt1073241,2335122,8.2,14686,Nothing But the Truth,Drama,Film-Noir,Film-Noir
1231,3924,1222,50402,8.2,Notorious (1946),1946,Notorious,tt0038787,1300766,7.8,8454,Notorious,Comedy,Drama,Drama
1232,3926,12210,135052,6.9,Notting Hill (1999),1999,Notting Hill,tt0125439,1298038,7.8,131973,Notting Hill,Drama,Romance,Romance
1233,3929,12212,9780,6.8,Now Is Good (2012),2012,Now Is Good,tt1937264,6601382,7.6,7081,Now Is Good,Drama,,
1234,3939,223,89745,8.4,Nuovo Cinema Paradiso (1988),1988,Nuovo Cinema Paradiso,tt0095765,1291828,9.1,186305,Nuovo Cinema Paradiso,Comedy,Crime,Crime
1235,3945,1321,158858,7.8,"O Brother, Where Art Thou? (2000)",2000,"O Brother, Where Art Thou?",tt0190590,1292264,7.8,15201,"O Brother, Where Art Thou?",Comedy,Drama,Drama
1236,3946,123,11163,7.8,OMG: Oh My God! (2012),2012,OMG: Oh My God!,tt2283748,19945757,8.3,19986,OMG: Oh My God!,Crime,Thriller,Thriller
1237,3953,2311,266257,7.7,Ocean's Eleven (2001),2001,Ocean's Eleven,tt0240772,1301578,7.8,73444,Ocean's Eleven,Crime,Thriller,Thriller
1238,3954,13200,172475,6.8,Ocean's Thirteen (2007),2007,Ocean's Thirteen,tt0496806,1471507,7.1,43960,Ocean's Thirteen,Crime,Thriller,Thriller
1239,3955,122100,191095,6.3,Ocean's Twelve (2004),2004,Ocean's Twelve,tt0349903,1292344,6.9,50139,Ocean's Twelve,Biography,Drama,Drama
1240,3956,1311,46925,7.7,October Sky (1999),1999,October Sky,tt0132477,1293753,8.4,8341,October Sky,Documentary,Drama,Drama
1241,3958,2211,5817,7.6,Océans (2009),2009,Océans,tt0765128,3443389,8.9,72783,Océans,Drama,Music,Music
1242,3964,1222,24441,8.1,Okuribito (2008),2008,Okuribito,tt1069238,2149806,8.7,208855,おくりびと,Drama,Mystery,Mystery
1243,3968,1222,211039,8.4,Oldeuboi (2003),2003,Oldeuboi,tt0364569,1308865,8.3,69565,올드보이,Crime,Drama,Drama
1244,3971,13200,18754,6.9,Oliver Twist (2005),2005,Oliver Twist,tt0380599,1418194,7.7,16569,Oliver Twist,Action,Thriller,Thriller
1245,3973,12101,96087,6.5,Olympus Has Fallen (2013),2013,Olympus Has Fallen,tt2302755,10743974,6.3,20779,Olympus Has Fallen,Animation,Drama,Drama
1246,3976,1211,7182,7.6,Omohide poro poro (1991),1991,Omohide poro poro,tt0102587,1291588,8.4,44387,おもひでぽろぽろ,Drama,,
1247,3978,2211,16289,7.5,On Golden Pond (1981),1981,On Golden Pond,tt0082846,1293767,8.8,11882,On Golden Pond,Adventure,Drama,Drama
1248,3981,122100,19505,6.0,On the Road (2012),2012,On the Road,tt0337692,1907465,7.0,12671,On the Road,Drama,Music,Music
1249,3984,1222,62460,7.9,Once (2006),2006,Once,tt0907657,2053515,8.4,129656,Once,Crime,Drama,Drama
1250,3986,1222,141368,8.4,Once Upon a Time in America (1984),1984,Once Upon a Time in America,tt0087843,1292262,9.0,97107,Once Upon a Time in America,Action,Thriller,Thriller
1251,3987,122100,97744,6.3,Once Upon a Time in Mexico (2003),2003,Once Upon a Time in Mexico,tt0285823,1307678,7.3,14077,Once Upon a Time in Mexico,Drama,Romance,Romance
1252,3990,13100,12298,6.7,Ondine (2009),2009,Ondine,tt1235796,3158440,7.2,6626,Ondine,Drama,,
1253,3998,233,432842,8.8,One Flew Over the Cuckoo's Nest (1975),1975,One Flew Over the Cuckoo's Nest,tt0073486,1292224,9.0,160573,One Flew Over the Cuckoo's Nest,Animation,Adventure,Adventure
1254,4000,13201,60307,7.2,One Hundred and One Dalmatians (1961),1961,One Hundred and One Dalmatians,tt0055254,1298204,7.7,16739,One Hundred and One Dalmatians,Animation,Short,Short
1255,4001,1311,6544,7.8,One Man Band (2005),2005,One Man Band,tt0479113,1756584,8.7,33682,One Man Band,Action,Thriller,Thriller
1256,4011,12211,45239,7.1,Ong-bak (2003),2003,Ong-bak,tt0368909,1308713,7.7,10159,Ong-bak,Animation,Adventure,Adventure
1257,4019,122100,43868,6.1,Open Season (2006),2006,Open Season,tt0400717,1428178,7.0,18408,Open Season,Animation,Adventure,Adventure
1258,4020,1121000,10879,5.5,Open Season 2 (2008),2008,Open Season 2,tt1107365,3011581,6.5,5204,Open Season 2,Drama,Mystery,Mystery
1259,4034,121100,33160,5.8,Original Sin (2001),2001,Original Sin,tt0218922,1302303,7.3,37719,Original Sin,Mystery,Thriller,Thriller
1260,4036,12200,88752,6.9,Orphan (2009),2009,Orphan,tt1148204,3011308,7.9,119829,Orphan,Biography,Drama,Drama
1261,4050,12211,34269,7.0,Out of Africa (1985),1985,Out of Africa,tt0089755,1291840,8.4,39130,Out of Africa,Action,Drama,Drama
1262,4055,123100,64800,6.5,Outbreak (1995),1995,Outbreak,tt0114069,1301419,7.4,6404,Outbreak,Action,Adventure,Adventure
1263,4058,122100,48525,6.2,Outlander (2008),2008,Outlander,tt0462465,2049689,5.6,5916,Outlander,Comedy,Fantasy,Fantasy
1264,4063,1221000,16784,5.1,Over Her Dead Body (2008),2008,Over Her Dead Body,tt0785007,2118538,5.7,6233,Over Her Dead Body,Animation,Adventure,Adventure
1265,4064,13100,90124,6.8,Over the Hedge (2006),2006,Over the Hedge,tt0327084,1437339,7.2,16507,Over the Hedge,Adventure,Family,Family
1266,4069,122100,109887,6.5,Oz the Great and Powerful (2013),2013,Oz the Great and Powerful,tt1623205,4816602,6.3,30230,Oz: The Great and Powerful,Drama,Romance,Romance
1267,4070,12111,108535,6.9,P.S. I Love You (2007),2007,P.S. I Love You,tt0431308,1920796,8.0,92454,P.S. I Love You,Action,Horror,Horror
1268,4071,122000,20033,5.8,P2 (2007),2007,P2,tt0758730,1578502,5.5,12627,AVPR: Aliens vs Predator - Requiem,Action,Adventure,Adventure
1269,4075,1211,104954,7.6,Pacific Rim (2013),2013,Pacific Rim,tt1663662,5323968,7.8,150715,Pacific Rim,Comedy,Crime,Crime
1270,4077,12100,63496,6.5,Pain & Gain (2013),2013,Pain & Gain,tt1980209,6893934,6.2,7328,Pain & Gain,Action,Horror,Horror
1271,4082,12200,87289,6.7,Pandorum (2009),2009,Pandorum,tt1188729,3011617,6.9,16722,Pandorum,Crime,Thriller,Thriller
1272,4085,23100,143907,6.8,Panic Room (2002),2002,Panic Room,tt0258000,1306911,7.0,15355,Panic Room,Comedy,Drama,Drama
1273,4087,122100,6374,5.9,Paper Heart (2009),2009,Paper Heart,tt1331064,3440075,7.4,12453,Paper Heart,Animation,Short,Short
1274,4090,1222,12410,8.1,Paperman (2012),2012,Paperman,tt2388725,10617158,8.0,37818,Paperman,Animation,Mystery,Mystery
1275,4092,2211,26293,7.6,Papurika (2006),2006,Papurika,tt0851578,1865703,8.6,52299,パプリカ,Animation,Adventure,Adventure
1276,4093,13200,46739,7.0,ParaNorman (2012),2012,ParaNorman,tt1623288,6053679,7.1,24229,ParaNorman,Crime,Drama,Drama
1277,4097,12100,20361,6.7,Paranoid Park (2007),2007,Paranoid Park,tt0842929,2002683,7.3,17344,Paranoid Park,Horror,Mystery,Mystery
1278,4098,12100,131410,6.4,Paranormal Activity (2007),2007,Paranormal Activity,tt1179904,3011550,6.3,19956,Paranormal Activity,Horror,,
1279,4099,121100,57600,5.7,Paranormal Activity 2 (2010),2010,Paranormal Activity 2,tt1536044,4117274,5.7,5915,Paranormal Activity 2,Comedy,Drama,Drama
1280,4105,13200,7306,6.8,Paris (2008),2008,Paris,tt0869994,1949369,7.5,7393,Paris,Drama,,
1281,4106,1222,30718,8.0,"Paris, Texas (1984)",1984,"Paris, Texas",tt0087884,1302061,8.7,15441,"Paris, Texas",Comedy,Drama,Drama
1282,4107,12211,50138,7.3,"Paris, je t'aime (2006)",2006,"Paris, je t'aime",tt0401711,1783772,8.3,98983,"Paris, je t'aime",Action,Crime,Crime
1283,4108,122100,46520,6.1,Parker (2013),2013,Parker,tt1904996,6875647,6.2,14003,Parker,Animation,Short,Short
1284,4109,1222,7013,8.1,Partly Cloudy (2009),2009,Partly Cloudy,tt1425244,3734350,9.1,67002,Partly Cloudy,Drama,Mystery,Mystery
1285,4113,121000,20007,5.7,Passengers (2008),2008,Passengers,tt0449487,2133422,6.4,15657,Passengers,Drama,War,War
1286,4120,1222,75856,8.5,Paths of Glory (1957),1957,Paths of Glory,tt0050825,1292969,8.6,5463,Paths of Glory,Comedy,Drama,Drama
1287,4121,12211,5256,6.8,"Patrik 1,5 (2008)",2008,"Patrik 1,5",tt1067733,3243344,8.0,9939,"Patrik 1,5",Biography,Drama,Drama
1288,4123,1222,58525,8.0,Patton (1970),1970,Patton,tt0066206,1298308,8.1,13466,Patton,Adventure,Comedy,Comedy
1289,4124,13200,131382,7.0,Paul (2011),2011,Paul,tt1092026,2999913,7.5,37512,Paul,Action,Comedy,Comedy
1290,4125,1221000,55620,5.2,Paul Blart: Mall Cop (2009),2009,Paul Blart: Mall Cop,tt1114740,3008253,6.0,10616,Paul Blart: Mall Cop,Sci-Fi,Thriller,Thriller
1291,4130,122100,70322,6.1,Paycheck (2003),2003,Paycheck,tt0338337,1308715,7.0,17630,Paycheck,Action,Drama,Drama
1292,4133,111101,175625,5.8,Pearl Harbor (2001),2001,Pearl Harbor,tt0213149,1302987,7.5,105501,Pearl Harbor,Comedy,Fantasy,Fantasy
1293,4140,12111,35918,6.8,Penelope (2006),2006,Penelope,tt0472160,1914652,6.6,38987,Penelope,Western,,
1294,4143,1322,91215,8.3,Per qualche dollaro in più (1965),1965,Per qualche dollaro in più,tt0059578,1295586,8.6,7729,Per qualche dollaro in più,Western,,
1295,4144,1321,79306,8.0,Per un pugno di dollari (1964),1964,Per un pugno di dollari,tt0058461,1302522,8.2,10150,Per un pugno di dollari,Adventure,Family,Family
1296,4145,121100,86770,5.8,Percy Jackson & the Olympians: The Lightning Thief (2010),2010,Percy Jackson & the Olympians: The Lightning Thief,tt0814255,3090455,5.6,30505,Percy Jackson & the Olympians: The Lightning Thief,Animation,Horror,Horror
1297,4148,2311,15098,7.6,Perfect Blue (1997),1997,Perfect Blue,tt0156887,1395091,8.7,29421,Perfect Blue,Drama,Romance,Romance
1298,4149,12211,25099,7.0,Perfect Sense (2011),2011,Perfect Sense,tt1439572,3743052,7.5,11154,Perfect Sense,Crime,Drama,Drama
1299,4150,121000,30379,5.5,Perfect Stranger (2007),2007,Perfect Stranger,tt0457433,1777570,6.5,9551,Perfect Stranger,Crime,Drama,Drama
1300,4151,2211,133887,7.5,Perfume: The Story of a Murderer (2006),2006,Perfume: The Story of a Murderer,tt0396171,1760622,8.3,169085,Perfume: The Story of a Murderer,Animation,Biography,Biography
1301,4152,1321,50223,7.9,Persepolis (2007),2007,Persepolis,tt0808417,1962116,8.7,44442,Persepolis,Drama,Romance,Romance
1302,4156,1211,6342,7.4,Persuasion (2007) (TV),2007,Persuasion,tt0844330,2039903,7.6,5936,Persuasion,Animation,Adventure,Adventure
1303,4160,13211,43010,7.3,Peter Pan (1953),1953,Peter Pan,tt0046183,1296538,8.2,10712,Peter Pan,Adventure,Family,Family
1304,4161,12111,37173,6.8,Peter Pan (2003),2003,Peter Pan,tt0316396,1307931,7.9,22516,Peter Pan,Drama,,
1305,4171,2311,127600,7.6,Philadelphia (1993),1993,Philadelphia,tt0107818,1293145,8.5,40685,Philadelphia,Mystery,Thriller,Thriller
1306,4173,13200,144401,7.1,Phone Booth (2002),2002,Phone Booth,tt0183649,1303246,7.8,72080,Phone Booth,Documentary,,
1307,4182,1211,8026,7.5,Pina (2011),2011,Pina,tt1440266,3742993,8.5,7612,Pina,Action,Comedy,Comedy
1308,4183,12211,163283,7.0,Pineapple Express (2008),2008,Pineapple Express,tt0910936,2074035,6.8,8717,Pineapple Express,Comedy,Crime,Crime
1309,4185,1000011101,12269,5.8,Pink Flamingos (1972),1972,Pink Flamingos,tt0069089,1298230,5.4,6034,Pink Flamingos,Drama,Musical,Musical
1310,4186,1212,44271,7.8,Pink Floyd The Wall (1982),1982,Pink Floyd The Wall,tt0084503,1296157,8.7,26779,Pink Floyd The Wall,Animation,Adventure,Adventure
1311,4187,12211,50068,7.6,Pinocchio (1940),1940,Pinocchio,tt0032910,1292757,8.0,15125,Pinocchio,Comedy,Horror,Horror
1312,4189,121000,56191,5.6,Piranha (2010),2010,Piranha,tt0464154,2269893,5.7,22713,Piranha,Comedy,Horror,Horror
1313,4190,1111100000,22410,3.9,Piranha 3DD (2012),2012,Piranha 3DD,tt1714203,5323911,4.3,8117,Piranha 3DD,Biography,Drama,Drama
1314,4191,12211,14230,7.1,Pirates of Silicon Valley (1999) (TV),1999,Pirates of Silicon Valley,tt0168122,1298084,7.4,7542,Pirates of Silicon Valley,Action,Adventure,Adventure
1315,4192,12211,304270,7.0,Pirates of the Caribbean: At World's End (2007),2007,Pirates of the Caribbean: At World's End,tt0449088,1418192,7.7,126311,Pirates of the Caribbean: At World's End,Action,Adventure,Adventure
1316,4193,12211,336746,7.3,Pirates of the Caribbean: Dead Man's Chest (2006),2006,Pirates of the Caribbean: Dead Man's Chest,tt0383574,1315574,7.8,129024,Pirates of the Caribbean: Dead Man's Chest,Action,Adventure,Adventure
1317,4194,22101,227614,6.6,Pirates of the Caribbean: On Stranger Tides (2011),2011,Pirates of the Caribbean: On Stranger Tides,tt1298650,3227410,7.2,155664,Pirates of the Caribbean: On Stranger Tides,Action,Adventure,Adventure
1318,4195,1322,505697,8.0,Pirates of the Caribbean: The Curse of the Black Pearl (2003),2003,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,1298070,8.4,203013,Pirates of the Caribbean: The Curse of the Black Pearl,Action,Sci-Fi,Sci-Fi
1319,4198,13210,138340,7.1,Pitch Black (2000),2000,Pitch Black,tt0134847,1296459,7.0,9109,Pitch Black,Comedy,Music,Music
1320,4199,12212,101536,7.1,Pitch Perfect (2012),2012,Pitch Perfect,tt1981677,6957293,7.3,9330,Pitch Perfect,Animation,Adventure,Adventure
1321,4204,122100,29991,6.1,Planet 51 (2009),2009,Planet 51,tt0762125,2042279,6.7,7595,Planet 51,Action,Horror,Horror
1322,4206,12211,125040,7.3,Planet Terror (2007),2007,Planet Terror,tt1077258,2160611,7.5,21706,Planet Terror,Adventure,Mystery,Mystery
1323,4207,1311,99972,8.0,Planet of the Apes (1968),1968,Planet of the Apes,tt0063442,1296697,7.9,10956,Planet of the Apes,Action,Adventure,Adventure
1324,4208,121000,131597,5.6,Planet of the Apes (2001),2001,Planet of the Apes,tt0133152,1304338,6.6,23956,Planet of the Apes,Action,Drama,Drama
1325,4209,1321,194748,8.2,Platoon (1986),1986,Platoon,tt0091763,1293396,8.1,16305,Platoon,Animation,Adventure,Adventure
1326,4222,122101,66447,6.4,Pocahontas (1995),1995,Pocahontas,tt0114148,1301342,7.6,12769,Pocahontas,Animation,Action,Action
1327,4230,1000111001,20148,5.0,Pokémon: The First Movie - Mewtwo Strikes Back (1998),1998,Pokémon: The First Movie - Mewtwo Strikes Back,tt0190641,1420088,7.8,11205,劇場版ポケットモンスター ミュウツーの逆襲,Action,Adventure,Adventure
1328,4252,1221000,63548,5.6,Poseidon (2006),2006,Poseidon,tt0409182,1473795,6.4,17421,Poseidon,Comedy,Romance,Romance
1329,4255,1221000,8537,5.2,Post Grad (2009),2009,Post Grad,tt1142433,3017896,6.1,10189,Post Grad,Biography,Drama,Drama
1330,4263,1213,7378,7.8,Prayers for Bobby (2009) (TV),2009,Prayers for Bobby,tt1073510,3154003,8.8,16999,Prayers for Bobby,Action,Adventure,Adventure
1331,4265,2311,198997,7.8,Predator (1987),1987,Predator,tt0093773,1298976,7.4,10951,Predator,Action,Adventure,Adventure
1332,4267,122100,125506,6.4,Predators (2010),2010,Predators,tt1424381,3699737,6.0,13269,Predators,Action,Crime,Crime
1333,4269,23100,61922,6.5,Premium Rush (2012),2012,Premium Rush,tt1547234,4146512,7.0,21385,Premium Rush,Animation,Short,Short
1334,4271,233,11257,8.5,Presto (2008),2008,Presto,tt1245104,3111355,8.8,34846,Presto,Comedy,Romance,Romance
1335,4275,12101,138401,6.8,Pretty Woman (1990),1990,Pretty Woman,tt0100405,1293825,7.8,62758,Pretty Woman,Drama,Romance,Romance
1336,4277,1212,128852,7.7,Pride & Prejudice (2005),2005,Pride & Prejudice,tt0414387,1418200,8.2,181230,Pride & Prejudice,Crime,Drama,Drama
1337,4278,23100,42682,6.6,Pride and Glory (2008),2008,Pride and Glory,tt0482572,1507248,6.8,5746,Pride and Glory,Action,Fantasy,Fantasy
1338,4280,121000,72064,5.7,Priest (2011),2011,Priest,tt0822847,2028661,5.8,13308,Priest,Crime,Drama,Drama
1339,4281,2311,87679,7.6,Primal Fear (1996),1996,Primal Fear,tt0117381,1296217,8.2,44550,Primal Fear,Comedy,Drama,Drama
1340,4283,122100,27453,6.2,Prime (2005),2005,Prime,tt0387514,1428069,7.0,5314,Prime,Action,Adventure,Adventure
