,no,distribution,ratings_count,imdb_rating,title_year,movie_year,movie_title,imdb_id,douban_id,douban_rating,douban_ratings_count,douban_title,genre1,genre2,genre3
318,1018,122100,60884,6.3,Cars 2 (2011),2011,Cars 2,tt1216475,3036478,7.6,33279,Cars 2,Animation,Adventure,Adventure
319,1020,123,269444,8.7,Casablanca (1942),1942,Casablanca,tt0034583,1296753,8.6,76515,Casablanca,Animation,Adventure,Adventure
320,1021,122100,33650,6.4,Casanova (2005),2005,Casanova,tt0402894,1470346,7.0,11005,Casanova,Drama,Romance,Romance
321,1022,122100,40236,6.1,Case 39 (2009),2009,Case 39,tt0795351,2057552,6.5,9989,Case 39,Adventure,Comedy,Comedy
322,1023,12211,53467,7.2,Cashback (2006),2006,Cashback,tt0460740,1945549,7.9,55990,Cashback,Horror,Mystery,Mystery
323,1024,1321,209036,8.2,Casino (1995),1995,Casino,tt0112641,1299799,8.1,10991,Casino,Comedy,Drama,Drama
324,1027,1321,314562,7.9,Casino Royale (2006),2006,Casino Royale,tt0381061,1418190,7.1,65829,Casino Royale,Biography,Crime,Crime
325,1028,121000,57678,5.8,Casper (1995),1995,Casper,tt0112642,1305217,8.0,13402,Casper,Action,Crime,Crime
326,1029,23100,34195,6.7,Cassandra's Dream (2007),2007,Cassandra's Dream,tt0795493,1907467,7.0,6249,Cassandra's Dream,Comedy,Family,Family
327,1031,2311,250231,7.6,Cast Away (2000),2000,Cast Away,tt0162222,1298653,8.3,74705,Cast Away,Crime,Drama,Drama
328,1040,1321,299007,7.9,Catch Me If You Can (2002),2002,Catch Me If You Can,tt0264464,1305487,8.4,106230,Catch Me If You Can,Adventure,Drama,Drama
329,1046,1221000,34220,5.1,Cats & Dogs (2001),2001,Cats & Dogs,tt0239395,1305071,6.5,18637,Cats & Dogs,Biography,Crime,Crime
